kode;diskripsi;lokasi;merk;warna;dept;satuan;jmlawal;jmlbeli;jmljual;reorder;hpp;hrgjual1;hrgjual2;hrgjual3;jmlrbeli;jmlrjual;jmldvplus;jmldvmin;noninv;untung;ppn;lsttgl;lstven;lsttgldev;lsttglbl;lsttgljl;boxrol;koderelasi;prosen;batassup;hrgjual4;untung2;untung3;cekpakai;batas1;batas2;barcode;tglrevisi;catrevisi
CALIBER-AD1;CALIBER ADLT DOG 1 KG;;;;27;KG;0;0;207;1;23850;33000;33000;33000;0;0;54;0;FALSE;38.36;0;20-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;38.36;38.36;0;0;0;CALIBER-AD1;03-Feb-16 06:56:29;0
VITTA-AD1;VITTAMAX ADLT DOG 1 KG;;;;27;KG;0;0;303;1;18000;19000;19000;19000;0;0;43;0;FALSE;5.56;0;23-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;5.56;5.56;0;0;0;VITTA-AD1;03-Feb-16 06:56:29;0
RC-K1;RC KITTEN 36 1 KG;;;;27;KG;0;0;0;1;76000;85000;85000;85000;0;0;0;0;FALSE;11.84;0;25-Sep-15;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;11.84;11.84;0;0;0;RC-K1;03-Feb-16 06:56:29;0
PRO-K1;PRO FORMANCE KITTEN 1 KG;;;;27;KG;0;0;0;1;39000;50000;50000;50000;0;0;0;0;FALSE;28.21;0;27-Apr-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;28.21;28.21;0;0;0;PRO-K1;03-Feb-16 06:56:29;0
SERIES-K1;PRO SERIES KITTEN 1 KG;;;;27;KG;0;0;0;1;45000;67000;67000;67000;0;0;0;0;FALSE;48.89;0;20-Sep-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;48.89;48.89;0;0;0;SERIES-K1;03-Feb-16 06:56:29;0
SD-K1;SD KITTEN 1 KG;;;;27;KG;0;0;2;1;64000;75000;75000;75000;0;0;36;0;FALSE;17.19;0;04-Jul-16;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;17.19;17.19;0;0;0;SD-K1;03-Feb-16 06:56:29;0
IAMS-K1;IAMS KITTEN 1 KG;;;;27;KG;0;0;110;1;58100;65000;65000;65000;0;0;46;0;FALSE;11.88;0;19-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;11.88;11.88;0;0;0;IAMS-K1;03-Feb-16 06:56:29;0
ACANA-AC1;ACANA ADLT CAT 1 KG;;;;27;KG;0;0;0;1;43000;47000;47000;47000;0;0;0;0;FALSE;9.3;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;9.3;9.3;0;0;0;ACANA-AC1;03-Feb-16 06:56:29;0
ARTEMIS-K1;ARTEMIS KITTEN 1 KG;;;;27;KG;0;0;0;1;53000;68000;68000;68000;0;0;0;0;FALSE;28.3;0;18-Apr-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;28.3;28.3;0;0;0;ARTEMIS-K1;03-Feb-16 06:56:29;0
ARTEMIS-AC1;ARTEMIS ADLT CAT 1 KG;;;;27;KG;0;0;0;1;47000;67000;67000;67000;0;0;0;0;FALSE;42.55;0;07-Mar-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;42.55;42.55;0;0;0;ARTEMIS-AC1;03-Feb-16 06:56:29;0
IAMS-AC1;IAMS ADLT CAT 1 KG -AN;;;;27;KG;0;0;195;1;50000;55000;55000;55000;0;0;33;0;FALSE;10;0;20-Dec-16;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;10;10;0;0;0;IAMS-AC1;03-Feb-16 06:56:29;0
SD-AC1;SD ADLT CAT 1 KG;;;;27;KG;0;0;36;1;58000;70000;70000;70000;0;0;23;0;FALSE;20.69;0;28-Aug-16;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;20.69;20.69;0;0;0;SD-AC1;03-Feb-16 06:56:29;0
SERIES-AC1;PRO SERIES ADLT CAT 1 KG;;;;27;KG;0;0;0;1;52000;65000;65000;65000;0;0;0;0;FALSE;25;0;20-Sep-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;25;25;0;0;0;SERIES-AC1;03-Feb-16 06:56:29;0
FRS-AC1;FRISKIES ADLT CAT 1 KG;;;;27;KG;0;0;144;1;33450;40000;40000;40000;0;0;49;0;FALSE;19.58;0;23-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;19.58;19.58;0;0;0;FRS-AC1;03-Feb-16 06:56:29;0
PRIDE-AC1;PRIDE ADLT CAT 1;;;;27;KG;0;0;0;1;36000;38000;38000;38000;0;0;0;0;FALSE;5.56;0;30-Dec-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;5.56;5.56;0;0;0;PRIDE-AC1;03-Feb-16 06:56:29;0
PRO-AC1;PRO FORMANCE ADLT CAT 1 KG;;;;27;KG;0;0;0;1;37000;50000;50000;50000;0;0;0;0;FALSE;35.14;0;28-Apr-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;35.14;35.14;0;0;0;PRO-AC1;03-Feb-16 06:56:29;0
MY-AC1;MY DEAR CAT 1 KG;;;;27;KG;0;0;575;1;26900;33000;33000;33000;0;0;228;0;FALSE;22.68;0;23-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;22.68;22.68;0;0;0;MY-AC1;03-Feb-16 06:56:29;0
VITTA-AC1;VITTAMAX ADLT CAT 1 KG;;;;27;KG;0;0;246;1;25500;34000;34000;34000;0;0;74;0;FALSE;33.33;0;22-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;33.33;33.33;0;0;0;VITTA-AC1;03-Feb-16 06:56:29;0
UNI-AC1;UNIVERSAL ADLT CAT 1 KG;;;;27;KG;0;0;759;1;20335;25000;25000;25000;0;0;0;0;FALSE;22.94;0;24-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;22.94;22.94;0;0;0;UNI-AC1;03-Feb-16 06:56:29;0
PRIME-AC1;PRIME CHOICE ADLT CAT 1 KG;;;;27;KG;0;0;0;1;35000;37000;37000;37000;0;0;0;0;FALSE;5.71;0;02-Jan-14;  -   -;  -   -;  -   -;  -   -;0;PRIME-AC1;0;0;0;5.71;5.71;0;0;0;PRIME-AC1;03-Feb-16 06:56:29;0
WHS-1;WHISKAS ADLT CAT 1 KG;;;;27;KG;0;0;0;1;31000;35000;35000;35000;0;0;0;0;FALSE;12.9;0;06-Oct-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;12.9;12.9;0;0;0;WHS-1;03-Feb-16 06:56:29;0
BETTER-AC1;BETTER ADLT CAT 1 KG;;;;27;KG;0;0;0;1;16348;24000;24000;24000;0;0;0;0;FALSE;46.81;0;10-Nov-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;46.81;46.81;0;0;0;BETTER-AC1;03-Feb-16 06:56:29;0
MEO-AC1;MEO ADLT CAT 1 KG;;;;27;KG;0;0;348;1;32475;39000;39000;39000;0;0;138;0;FALSE;20.09;0;24-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;20.09;20.09;0;0;0;MEO-AC1;03-Feb-16 06:56:29;0
RC-P1;RC PERSIAN 30 1 KG;;;;27;KG;0;0;0;1;79070;88000;88000;88000;0;0;0;0;FALSE;11.29;0;27-Sep-15;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;11.29;11.29;0;0;0;RC-P1;03-Feb-16 06:56:29;0
CALIBER-PSB23;CALIBER PUPPY SMALL BREED 23 KG;;;;2;SAK;0;0;0;1;356250;520000;510000;460000;0;0;0;0;FALSE;45.96;0;02-Aug-14;  -   -;  -   -;28-Oct-11;  -   -;0;CALIBER-PSB1;0;0;0;43.16;29.12;0;0;0;CALIBER-PSB23;03-Feb-16 06:56:29;0
CALIBER-23;CALIBER ULTRA 23 KG;;;;2;SAK;0;0;0;1;453750;650000;635000;700000;0;0;0;0;FALSE;43.25;0;28-Sep-15;  -   -;  -   -;17-Dec-11;  -   -;0;CALIBER-AD1;0;0;0;39.94;54.27;0;0;0;CALIBER-23;03-Feb-16 06:56:29;0
BALANCE-AD10;BALANCE ADLT DOG 10 KG;;;;3;SAK;0;0;0;1;138750;160000;155000;145000;0;0;0;0;FALSE;15.32;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;BALANCE-AD1;0;0;0;11.71;4.5;0;0;0;BALANCE-AD10;03-Feb-16 06:56:29;0
EUKA-LNR15;EUKA PUPPY ALL BREED LAMB 12 KG;;;;11;SAK;0;0;0;1;617400;700000;680000;885000;0;0;0;0;FALSE;13.38;0;01-Sep-15;  -   -;  -   -;15-Sep-11;  -   -;0;EUKA-L1;0;0;0;10.14;43.34;0;0;0;EUKA-LNR15;03-Feb-16 06:56:29;0
