[] [2/7/2017 14:44] [] USER = ADMIN IS ACTIVE
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] updateSomeRowsContent, attempt to calculate total
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [expiryDateValue]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [expiryDate]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productID]
[ADMIN] [2/7/2017 14:48] [PENJUALAN] MUTASI FORM : Combobox_KeyUp, cashierDataGridView.CurrentCell.OwningColumn.Name  [productID]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:48] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:48] [PENJUALAN] MUTASI FORM : Combobox_KeyUp, cashierDataGridView.CurrentCell.OwningColumn.Name  [qty]
[ADMIN] [2/7/2017 14:48] [PENJUALAN] MUTASI FORM : Combobox_KeyUp, cashierDataGridView.CurrentCell.OwningColumn.Name  [qty]
[ADMIN] [2/7/2017 14:48] [PENJUALAN] MUTASI FORM : Combobox_KeyUp, cashierDataGridView.CurrentCell.OwningColumn.Name  [productID]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productID]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productName]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] updateSomeRowsContent, PRODUCT_BASE_PRICE [20000]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [hpp]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] updateSomeRowsContent, attempt to calculate total
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [expiryDateValue]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:49] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[] [2/7/2017 14:51] [] USER = ADMIN IS ACTIVE
[ADMIN] [2/7/2017 14:51] [] USER ID = 1 LOGIN SUCCESSFULLY
[ADMIN] [2/7/2017 14:51] [] ACTIVATE USER ACCESS RIGHT
[ADMIN] [2/7/2017 14:51] [] DISPLAY ADMIN FORM
[ADMIN] [2/7/2017 14:51] [] adminForm Load
[ADMIN] [2/7/2017 14:51] [] ACTIVATE USER ACCESS RIGHT
[ADMIN] [2/7/2017 14:51] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productID]
[ADMIN] [2/7/2017 14:51] [PENJUALAN] MUTASI FORM : Combobox_KeyUp, cashierDataGridView.CurrentCell.OwningColumn.Name  [productID]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productID]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [productName]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] updateSomeRowsContent, PRODUCT_BASE_PRICE [53700]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [hpp]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [qty]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] MUTASI BARANG : detailRequestOrderDataGridView_CellValueChanged [subtotal]
[ADMIN] [2/7/2017 14:52] [MUTASI BARANG] updateSomeRowsContent, attempt to calculate total
