"CANIN-AD1","CANIN SELECTION 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,11000.0000,16000.0000,16000.0000,16000.0000,0.00,0.00,0.00,0.00,F,45.45,0,08/10/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,45.45,45.45,0,0,0,"CANIN-AD1",02/03/2016 06:56:29,0
"CLASSIC-AD1","CLASSIC BBQ 1 KG","","","",27,"KG",0.00,0.00,332.00,1.00,15000.0000,21000.0000,21000.0000,21000.0000,0.00,0.00,121.00,0.00,F,40.00,0,11/16/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,40.00,40.00,0,0,0,"CLASSIC-AD1",02/03/2016 06:56:29,0
"ALPO-AD1","ALPO ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,200.00,1.00,24900.0000,30000.0000,30000.0000,30000.0000,0.00,0.00,122.00,0.00,F,20.48,0,11/17/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,20.48,20.48,0,0,0,"ALPO-AD1",02/03/2016 06:56:29,0
"6931508680118","PREMIER 680118","","","",24,"PCS",0.00,0.00,0.00,1.00,22400.0000,32000.0000,32000.0000,25600.0000,0.00,0.00,0.00,0.00,F,42.86,0,11/15/2012,/  /,/  /,09/19/2011,/  /,0.00,"",0.00,0,0.0000,42.86,14.29,0,0,0,"6931508680118",02/03/2016 06:56:29,0
"DRF-P1","DRF PUPPY 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,35900.0000,38000.0000,38000.0000,38000.0000,0.00,0.00,0.00,0.00,F,5.85,0,/  /,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,5.85,5.85,0,0,0,"DRF-P1",02/03/2016 06:56:29,0
"CALIBER-AD1","CALIBER ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,150.00,1.00,23800.0000,33000.0000,33000.0000,33000.0000,0.00,0.00,54.00,0.00,F,38.66,0,11/10/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,38.66,38.66,0,0,0,"CALIBER-AD1",02/03/2016 06:56:29,0
"VITTA-AD1","VITTAMAX ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,239.00,1.00,18000.0000,19000.0000,19000.0000,19000.0000,0.00,0.00,43.00,0.00,F,5.56,0,11/16/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,5.56,5.56,0,0,0,"VITTA-AD1",02/03/2016 06:56:29,0
"RC-K1","RC KITTEN 36 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,76000.0000,85000.0000,85000.0000,85000.0000,0.00,0.00,0.00,0.00,F,11.84,0,09/25/2015,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,11.84,11.84,0,0,0,"RC-K1",02/03/2016 06:56:29,0
"PRO-K1","PRO FORMANCE KITTEN 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,39000.0000,50000.0000,50000.0000,50000.0000,0.00,0.00,0.00,0.00,F,28.21,0,04/27/2014,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,28.21,28.21,0,0,0,"PRO-K1",02/03/2016 06:56:29,0
"SERIES-K1","PRO SERIES KITTEN 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,45000.0000,67000.0000,67000.0000,67000.0000,0.00,0.00,0.00,0.00,F,48.89,0,09/20/2014,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,48.89,48.89,0,0,0,"SERIES-K1",02/03/2016 06:56:29,0
"SD-K1","SD KITTEN 1 KG","","","",27,"KG",0.00,0.00,2.00,1.00,64000.0000,75000.0000,75000.0000,75000.0000,0.00,0.00,36.00,0.00,F,17.19,0,07/04/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,17.19,17.19,0,0,0,"SD-K1",02/03/2016 06:56:29,0
"IAMS-K1","IAMS KITTEN 1 KG","","","",27,"KG",0.00,0.00,66.00,1.00,58100.0000,65000.0000,65000.0000,65000.0000,0.00,0.00,46.00,0.00,F,11.88,0,11/07/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,11.88,11.88,0,0,0,"IAMS-K1",02/03/2016 06:56:29,0
"ACANA-AC1","ACANA ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,43000.0000,47000.0000,47000.0000,47000.0000,0.00,0.00,0.00,0.00,F,9.30,0,/  /,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,9.30,9.30,0,0,0,"ACANA-AC1",02/03/2016 06:56:29,0
"ARTEMIS-K1","ARTEMIS KITTEN 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,53000.0000,68000.0000,68000.0000,68000.0000,0.00,0.00,0.00,0.00,F,28.30,0,04/18/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,28.30,28.30,0,0,0,"ARTEMIS-K1",02/03/2016 06:56:29,0
"ARTEMIS-AC1","ARTEMIS ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,47000.0000,67000.0000,67000.0000,67000.0000,0.00,0.00,0.00,0.00,F,42.55,0,03/07/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,42.55,42.55,0,0,0,"ARTEMIS-AC1",02/03/2016 06:56:29,0
"IAMS-AC1","IAMS ADLT CAT 1 KG -AN","","","",27,"KG",0.00,0.00,190.00,1.00,50000.0000,55000.0000,55000.0000,55000.0000,0.00,0.00,33.00,0.00,F,10.00,0,11/12/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,10.00,10.00,0,0,0,"IAMS-AC1",02/03/2016 06:56:29,0
"SD-AC1","SD ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,36.00,1.00,58000.0000,70000.0000,70000.0000,70000.0000,0.00,0.00,23.00,0.00,F,20.69,0,08/28/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,20.69,20.69,0,0,0,"SD-AC1",02/03/2016 06:56:29,0
"SERIES-AC1","PRO SERIES ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,52000.0000,65000.0000,65000.0000,65000.0000,0.00,0.00,0.00,0.00,F,25.00,0,09/20/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,25.00,25.00,0,0,0,"SERIES-AC1",02/03/2016 06:56:29,0
"FRS-AC1","FRISKIES ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,121.00,1.00,33450.0000,40000.0000,40000.0000,40000.0000,0.00,0.00,49.00,0.00,F,19.58,0,11/14/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,19.58,19.58,0,0,0,"FRS-AC1",02/03/2016 06:56:29,0
"PRIDE-AC1","PRIDE ADLT CAT 1","","","",27,"KG",0.00,0.00,0.00,1.00,36000.0000,38000.0000,38000.0000,38000.0000,0.00,0.00,0.00,0.00,F,5.56,0,12/30/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,5.56,5.56,0,0,0,"PRIDE-AC1",02/03/2016 06:56:29,0
"PRO-AC1","PRO FORMANCE ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,37000.0000,50000.0000,50000.0000,50000.0000,0.00,0.00,0.00,0.00,F,35.14,0,04/28/2014,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,35.14,35.14,0,0,0,"PRO-AC1",02/03/2016 06:56:29,0
"MY-AC1","MY DEAR CAT 1 KG","","","",27,"KG",0.00,0.00,503.00,1.00,26900.0000,33000.0000,33000.0000,33000.0000,0.00,0.00,228.00,0.00,F,22.68,0,11/17/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,22.68,22.68,0,0,0,"MY-AC1",02/03/2016 06:56:29,0
"VITTA-AC1","VITTAMAX ADLT CAT 1 KG","","","",27,"KG",0.00,0.00,214.00,1.00,25500.0000,34000.0000,34000.0000,34000.0000,0.00,0.00,74.00,0.00,F,33.33,0,11/16/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,33.33,33.33,0,0,0,"VITTA-AC1",02/03/2016 06:56:29,0
